Blue (Band 2),Green (Band 3),Red (Band 4),NIR (Band 5),SWIR (Band 6),SWIR (Band 7),class_id
10671,12620,14472,18551,20096,18031,5
10714,12568,14551,18211,20568,18747,5
10310,12039,13826,17525,19906,18324,5
10232,11873,13641,17318,19689,18183,5
10509,12242,14155,17503,20305,18590,5
10360,12067,13893,17727,19734,17872,5
10565,12449,14422,18531,20658,17864,5
10561,12447,14433,18888,20707,17218,5
10694,12682,14625,19132,20462,17153,5
10642,12565,14499,18828,20347,17044,5
10452,12378,14295,18939,20102,16529,5
10520,12470,14410,19016,20193,16866,5
10640,12600,14577,18731,20346,17843,5
10884,12981,15071,18603,20598,19078,5
10909,12886,14877,18379,20760,19321,5
10906,12944,14946,18502,20808,19364,5
10875,12933,14912,18415,20524,19161,5
10663,12376,14109,17606,19394,17707,5
10561,12330,14064,17537,19680,18151,5
10507,12272,14196,17830,20051,18550,5
10428,12163,14088,17749,20504,18996,5
10455,12074,14006,17738,20498,19048,5
10640,12391,14417,17950,20794,19475,5
10737,12599,14627,18318,20852,19482,5
10448,12151,14029,17700,20465,18954,5
10598,12308,14281,17798,20956,19416,5
10698,12437,14535,18062,21159,19321,5
10613,12361,14451,18301,21049,18690,5
10630,12369,14449,18565,21240,18485,5
10851,12607,14829,18677,21462,19011,5
10688,12424,14489,18370,21046,18844,5
10944,12890,15150,18857,21547,19611,5
11185,13213,15599,19027,22232,21056,5
10838,12661,14786,18220,21664,20375,5
10792,12539,14629,18362,21421,19616,5
10864,12683,14778,18729,21505,19313,5
10832,12652,14769,18415,21386,19492,5
10749,12568,14721,18349,21373,19645,5
10637,12337,14360,17813,20897,19429,5
10513,12285,14157,17789,20173,18638,5
10496,12248,14140,18065,20062,18211,5
10433,12212,14035,17962,19882,18208,5
10521,12266,14286,18601,20882,18213,5
10589,12410,14555,18711,20936,18242,5
10611,12352,14389,18311,20747,18605,5
10689,12460,14419,18169,20847,19115,5
10542,12242,14124,18152,20061,18011,5
10507,12235,14148,17939,20077,18194,5
10483,12163,14025,17905,20437,18465,5
10431,12109,13913,17713,20418,18554,5
10468,12166,13981,17952,20348,18358,5
10551,12338,14142,18282,20385,17963,5
10372,12038,13751,18602,20302,16740,5
10654,12525,14352,18921,20836,17598,5
10566,12599,14505,18955,20720,17408,5
10485,12319,14107,18695,20156,16860,5
10489,12299,14113,18373,20043,17720,5
10531,12350,14282,18141,20256,18615,5
10384,12071,13933,17778,20216,18459,5
10295,11931,13658,17583,19921,18171,5
10520,12250,14180,17715,20181,18366,5
10561,12362,14257,18090,20221,18218,5
10663,12562,14536,18723,20516,17752,5
10658,12578,14537,19026,20709,17159,5
10719,12694,14675,19096,20711,17169,5
